Minor Name,Category,Total Required Courses,Ghost Courses (count),Ghost Course List,Zombie Courses (count),Zombie Course List,Min Offering Rate Among Required (%),Max Offering Rate Among Required (%),Avg Offering Rate Among Required (%),Impossible to Complete,Risk Level
Education Minor,Humanities/Other,4,0,,0,,43.8,68.8,59.4,No,LOW
English Minor,Humanities/Other,8,1,ENGL 1700,1,ENGL 1000,0.0,75.0,40.6,No,CRITICAL
Environmental Studies Minor,Humanities/Other,5,0,,1,ENGL 1000,25.0,81.2,51.2,No,HIGH
Film and Media Studies Minor,Humanities/Other,2,0,,1,FAMS 1100,18.8,31.2,25.0,No,HIGH
Forensics Minor,Humanities/Other,2,0,,0,,50.0,81.2,65.6,No,LOW
Geography Minor,Humanities/Other,13,6,GEOG 1700; GEOG 1800; GEOG 1900; GEOG 2000; GEOG 2100; GEOG 2200,1,GEOG 1300,0.0,75.0,22.6,No,CRITICAL
Health Promotion Education and Behavior Minor,Humanities/Other,2,0,,0,,37.5,62.5,50.0,No,LOW
History Minor,Humanities/Other,50,47,HIST 1300; HIST 1400; HIST 1500; HIST 1600; HIST 1700; HIST 1800; HIST 1900; HIST 2000; HIST 2100; HIST 2200; HIST 2300; HIST 2400; HIST 2500; HIST 2600; HIST 2700; HIST 2800; HIST 2900; HIST 3000; HIST 3100; HIST 3200; HIST 3300; HIST 3400; HIST 3500; HIST 3600; HIST 3700; HIST 3800; HIST 3900; HIST 4000; HIST 4100; HIST 4200; HIST 4300; HIST 4400; HIST 4500; HIST 4600; HIST 4700; HIST 4800; HIST 4900; HIST 5000; HIST 5100; HIST 5200; HIST 5300; HIST 5400; HIST 5500; HIST 5600; HIST 5700; HIST 5800; HIST 5900,0,,0.0,50.0,2.4,No,CRITICAL
International Studies Minor,Humanities/Other,1,0,,0,,68.8,68.8,68.8,No,LOW
Law and Society Interdisciplinary Minor,Humanities/Other,19,0,,5,ACCT 1000; ENGL 1000; ISCI 1000; PHIL 1000; RETL 1000,12.5,81.2,43.8,No,HIGH
Linguistics Minor,Humanities/Other,2,0,,1,LING 1100,25.0,43.8,34.4,No,HIGH
Mass Communications Minor,Humanities/Other,5,0,,0,,37.5,81.2,57.5,No,LOW
Media Arts Minor,Humanities/Other,2,0,,2,MART 1000; MART 1100,12.5,25.0,18.8,Yes,CRITICAL
Medical Anthropology Minor,Humanities/Other,2,0,,1,ANTH 1100,25.0,81.2,53.1,No,HIGH
Medical Humanities and Culture Minor,Humanities/Other,58,1,ANTH 2000,12,ANTH 1100; ARTH 1200; ARTS 1000; CLAS 1000; ECON 1200; ENGL 1000; ENHS 1100; HPEB 1100; HSPM 1200; PHIL 1000; SPAN 1100; WGST 1100,0.0,93.8,47.2,No,CRITICAL
Military Science Minor,Humanities/Other,8,1,HIST 1300,1,ARMY 1200,0.0,56.2,36.7,No,CRITICAL
Music Minor,Humanities/Other,7,4,MUSC 1300; MUSC 1400; MUSC 1500; MUSC 1600,1,MUSC 1200,0.0,75.0,17.9,No,CRITICAL
Naval Science Minor,Humanities/Other,3,0,,1,NAVY 1200,12.5,62.5,45.8,No,HIGH
Neuroscience Minor,Humanities/Other,3,0,,0,,43.8,87.5,60.4,No,LOW
Nutrition and Food Systems Minor,Humanities/Other,6,0,,0,,37.5,81.2,59.4,No,LOW
Philosophy Minor,Humanities/Other,50,46,PHIL 1400; PHIL 1500; PHIL 1600; PHIL 1700; PHIL 1800; PHIL 1900; PHIL 2000; PHIL 2100; PHIL 2200; PHIL 2300; PHIL 2400; PHIL 2500; PHIL 2600; PHIL 2700; PHIL 2800; PHIL 2900; PHIL 3000; PHIL 3100; PHIL 3200; PHIL 3300; PHIL 3400; PHIL 3500; PHIL 3600; PHIL 3700; PHIL 3800; PHIL 3900; PHIL 4000; PHIL 4100; PHIL 4200; PHIL 4300; PHIL 4400; PHIL 4500; PHIL 4600; PHIL 4700; PHIL 4800; PHIL 4900; PHIL 5000; PHIL 5100; PHIL 5200; PHIL 5300; PHIL 5400; PHIL 5500; PHIL 5600; PHIL 5700; PHIL 5800; PHIL 5900,1,PHIL 1000,0.0,75.0,3.8,No,CRITICAL
Political Science Minor,Humanities/Other,30,26,POLI 1400; POLI 1500; POLI 1600; POLI 1700; POLI 1800; POLI 1900; POLI 2000; POLI 2100; POLI 2200; POLI 2300; POLI 2400; POLI 2500; POLI 2600; POLI 2700; POLI 2800; POLI 2900; POLI 3000; POLI 3100; POLI 3200; POLI 3300; POLI 3400; POLI 3500; POLI 3600; POLI 3700; POLI 3800; POLI 3900,0,,0.0,75.0,9.0,No,CRITICAL
Psychology Minor,Humanities/Other,1,0,,0,,62.5,62.5,62.5,No,LOW
Religious Studies Minor,Humanities/Other,4,0,,0,,37.5,75.0,59.4,No,LOW
Renaissance Studies Minor,Humanities/Other,8,0,,2,CLAS 1000; ENGL 1000,12.5,75.0,46.1,No,HIGH
Social Media and Mass Communications Minor,Humanities/Other,4,0,,1,ISCI 1000,25.0,81.2,53.1,No,HIGH
Social Work Minor,Humanities/Other,3,0,,1,SOWK 1000,25.0,68.8,47.9,No,HIGH
Sociology Minor,Humanities/Other,1,0,,0,,56.2,56.2,56.2,No,LOW
Speech Communication Minor,Humanities/Other,11,2,SPCH 1400; ENGL 2000,1,ENGL 1000,0.0,81.2,36.9,No,CRITICAL
Theatre Minor,Humanities/Other,6,3,THEA 1300; THEA 1400; THEA 1500,0,,0.0,81.2,31.2,No,CRITICAL
User Experience and Design Minor,Humanities/Other,4,0,,1,ISCI 1000,25.0,81.2,53.1,No,HIGH
Womens and Gender Studies Minor,Humanities/Other,16,12,WGST 1400; WGST 1500; WGST 1600; WGST 1700; WGST 1800; WGST 1900; WGST 2000; WGST 2100; WGST 2200; WGST 2300; WGST 2400; WGST 2500,2,WGST 1100; WGST 1300,0.0,50.0,7.8,No,CRITICAL
Ancient Greek Literature Minor,Language,3,0,,0,,37.5,75.0,56.2,No,LOW
Arabic Studies Minor,Language,6,1,ARAB 1500,1,ARAB 1100,0.0,75.0,40.6,No,CRITICAL
Chinese Studies Minor,Language,4,0,,1,CHIN 1000,12.5,81.2,45.3,No,HIGH
Foreign Language Education Minor,Language,7,2,EDEX 2000; EDPY 2000,0,,0.0,68.8,37.5,No,CRITICAL
Francophone Studies Minor,Language,4,0,,3,FREN 1100; SCHC 1000; SCHC 1100,6.2,68.8,28.1,No,CRITICAL
German Minor,Language,4,0,,1,GERM 1300,18.8,75.0,46.9,No,HIGH
German Studies Minor,Language,6,1,GERM 1500,1,GERM 1300,0.0,87.5,45.8,No,CRITICAL
Italian Minor,Language,3,0,,0,,31.2,75.0,54.2,No,LOW
Japanese Minor,Language,18,12,JAPA 1600; JAPA 1700; JAPA 1800; JAPA 1900; JAPA 2000; JAPA 2100; JAPA 2200; JAPA 2300; JAPA 2400; JAPA 2500; JAPA 2600; JAPA 2700,1,JAPA 1100,0.0,75.0,17.7,No,CRITICAL
Latin American Caribbean and US Latinx Studies Minor,Language,2,0,,0,,75.0,87.5,81.2,No,LOW
Latin Minor,Language,1,0,,0,,43.8,43.8,43.8,No,MODERATE
Portuguese Minor,Language,2,0,,1,PORT 1000,25.0,56.2,40.6,No,HIGH
Russian Minor,Language,4,0,,1,RUSS 1000,25.0,62.5,51.6,No,HIGH
Russian and Eurasian Studies Minor,Language,1,0,,0,,37.5,37.5,37.5,No,MODERATE
Spanish Minor,Language,2,0,,1,SPAN 1100,25.0,68.8,46.9,No,HIGH
Athletic Coaching Minor,Professional/Applied,7,0,,3,PEDU 1100; PEDU 1400; PEDU 1600,6.2,68.8,34.8,No,HIGH
Business Administration Minor,Professional/Applied,6,0,,2,ACCT 1000; FINA 1000,25.0,62.5,39.6,No,HIGH
Entrepreneurship Minor,Professional/Applied,3,0,,0,,37.5,50.0,41.7,No,MODERATE
Event Management Minor,Professional/Applied,8,0,,1,RETL 1000,12.5,87.5,50.8,No,HIGH
Hospitality and Tourism Management Minor,Professional/Applied,3,0,,0,,50.0,81.2,62.5,No,LOW
Leadership Studies Minor,Professional/Applied,24,2,MGMT 1300; PSYC 1300,2,MGMT 1100; PCAM 1100,0.0,93.8,48.4,No,CRITICAL
Music Entrepreneurship Minor,Professional/Applied,3,0,,0,,37.5,50.0,41.7,No,MODERATE
Music Industry Studies Minor,Professional/Applied,4,0,,0,,37.5,75.0,48.4,No,MODERATE
Professional Writing and Communication Minor,Professional/Applied,1,0,,1,ENGL 1000,25.0,25.0,25.0,Yes,CRITICAL
Retailing Minor,Professional/Applied,3,0,,1,RETL 1000,12.5,56.2,41.7,No,HIGH
Risk Management and Insurance Minor,Professional/Applied,6,0,,2,ACCT 1000; FINA 1000,25.0,81.2,53.1,No,HIGH
Sport and Entertainment Management Minor,Professional/Applied,15,12,SPTE 1300; SPTE 1400; SPTE 1500; SPTE 1600; SPTE 1700; SPTE 1800; SPTE 1900; SPTE 2000; SPTE 2100; SPTE 2200; SPTE 2300; SPTE 2400,0,,0.0,87.5,13.3,No,CRITICAL
Sports Media Minor,Professional/Applied,2,0,,0,,68.8,81.2,75.0,No,LOW
Actuarial Mathematics and Statistics Minor,STEM,3,0,,1,MATH 1000,25.0,87.5,60.4,No,HIGH
Aerospace Engineering Minor,STEM,5,1,AESP 2000,1,EMCH 1100,0.0,50.0,28.8,No,CRITICAL
Aerospace Studies Minor,STEM,2,0,,0,,31.2,68.8,50.0,No,LOW
Applied Computing Minor,STEM,11,1,CSCE 2000,3,ISCI 1000; MART 1000; MART 1100,0.0,87.5,35.8,No,CRITICAL
Astronomy Minor,STEM,1,0,,0,,68.8,68.8,68.8,No,LOW
Biology Minor,STEM,3,1,BIOL 2000,0,,0.0,75.0,41.7,No,CRITICAL
Chemical Engineering Minor,STEM,6,0,,1,MATH 1000,25.0,81.2,53.1,No,HIGH
Chemistry Minor,STEM,5,1,CHEM 2000,1,MATH 1000,0.0,75.0,42.5,No,CRITICAL
Computer Science Minor,STEM,6,0,,1,MATH 1000,25.0,87.5,50.0,No,HIGH
Cybersecurity Operations Minor,STEM,7,1,CSCE 2000,0,,0.0,87.5,49.1,No,CRITICAL
Data Science Minor,STEM,9,1,BIOL 2000,1,MATH 1000,0.0,87.5,45.8,No,CRITICAL
Electrical Engineering Minor,STEM,5,0,,1,ELCT 1100,25.0,56.2,40.0,No,HIGH
Environmental and Sustainable Engineering Minor,STEM,2,0,,0,,68.8,75.0,71.9,No,LOW
Geological Sciences Minor,STEM,7,1,CHEM 2000,0,,0.0,81.2,55.4,No,CRITICAL
Geophysics Minor,STEM,7,1,GEOL 2000,1,MATH 1000,0.0,81.2,42.9,No,CRITICAL
Informatics Minor,STEM,3,0,,1,ISCI 1000,25.0,81.2,47.9,No,HIGH
Integrated Information Technology Minor,STEM,2,0,,0,,37.5,37.5,37.5,No,MODERATE
Marine Science Minor,STEM,5,0,,2,MSCI 1100; MSCI 1400,18.8,62.5,37.5,No,HIGH
Mathematical Biology Minor,STEM,15,3,BIOL 2000; BMEN 2000; MATH 2000,2,MATH 1000; MSCI 1100,0.0,68.8,38.8,No,CRITICAL
Mathematics Minor,STEM,1,0,,1,MATH 1000,25.0,25.0,25.0,Yes,CRITICAL
Mechanical Engineering Minor,STEM,6,0,,2,EMCH 1100; EMCH 1400,12.5,43.8,30.2,No,HIGH
Nuclear Engineering Minor,STEM,4,0,,1,MATH 1000,25.0,75.0,50.0,No,HIGH
Physics Minor,STEM,4,0,,0,,43.8,81.2,60.9,No,LOW
Statistics Minor,STEM,8,2,STAT 1600; STAT 1700,0,,0.0,93.8,42.2,No,CRITICAL
