filename,width,height
000096.jpg,46.0,52.0
000097.jpg,47.0,54.0
000098.jpg,35.0,46.0
000099.jpg,33.0,51.0
000100.jpg,25.0,53.0
000101.jpg,27.0,38.0
000101.jpg,17.0,35.0
000101.jpg,27.0,31.0
000102.jpg,9.0,44.0
000103.jpg,9.0,47.0
000104.jpg,10.0,46.0
000105.jpg,14.0,52.0
000106.jpg,12.0,48.0
000107.jpg,13.0,51.0
000108.jpg,14.0,50.0
000109.jpg,16.0,46.0
000110.jpg,13.0,45.0
000111.jpg,13.0,42.0
000112.jpg,9.0,11.0
000112.jpg,15.0,28.0
000112.jpg,22.0,36.0
000113.jpg,18.0,46.0
000114.jpg,17.0,48.0
000115.jpg,19.0,47.0
000116.jpg,18.0,43.0
000117.jpg,20.0,46.0
000118.jpg,21.0,47.0
000119.jpg,24.0,50.0
000120.jpg,24.0,43.0
000121.jpg,19.0,25.0
000121.jpg,10.0,24.0
000121.jpg,22.0,34.0
000122.jpg,22.0,50.0
000123.jpg,18.0,45.0
000124.jpg,18.0,42.0
000125.jpg,17.0,40.0
000126.jpg,11.0,25.0
000127.jpg,10.0,25.0
000128.jpg,12.0,24.0
000129.jpg,10.0,25.0
000130.jpg,18.0,13.0
000131.jpg,11.0,16.0
000132.jpg,13.0,18.0
000132.jpg,12.0,25.0
000132.jpg,27.0,40.0
000133.jpg,11.0,20.0
000134.jpg,14.0,28.0
000135.jpg,10.0,29.0
000136.jpg,11.0,31.0
000137.jpg,8.0,35.0
000138.jpg,11.0,39.0
000139.jpg,10.0,34.0
000140.jpg,12.0,34.0
000141.jpg,12.0,38.0
000142.jpg,11.0,41.0
000143.jpg,17.0,30.0
000143.jpg,17.0,62.0
000143.jpg,56.0,21.0
000143.jpg,29.0,31.0
000143.jpg,16.0,24.0
000143.jpg,9.0,37.0
000143.jpg,13.0,41.0
000144.jpg,15.0,46.0
000145.jpg,14.0,39.0
000146.jpg,14.0,40.0
000147.jpg,16.0,50.0
000148.jpg,15.0,45.0
000149.jpg,14.0,41.0
000150.jpg,14.0,42.0
000151.jpg,16.0,46.0
000152.jpg,14.0,17.0
000152.jpg,16.0,28.0
000152.jpg,27.0,39.0
000153.jpg,17.0,49.0
000154.jpg,18.0,49.0
000154.jpg,9.0,11.0
000155.jpg,16.0,47.0
000155.jpg,11.0,17.0
000156.jpg,12.0,23.0
000156.jpg,16.0,39.0
000157.jpg,10.0,28.0
000157.jpg,16.0,46.0
000158.jpg,10.0,30.0
000158.jpg,18.0,42.0
000159.jpg,13.0,38.0
000159.jpg,16.0,44.0
000160.jpg,16.0,44.0
000160.jpg,11.0,33.0
000161.jpg,18.0,53.0
000161.jpg,12.0,39.0
000162.jpg,12.0,46.0
000162.jpg,10.0,42.0
000163.jpg,16.0,20.0
000163.jpg,15.0,29.0
000163.jpg,24.0,34.0
000164.jpg,11.0,40.0
000164.jpg,12.0,38.0
000165.jpg,11.0,42.0
000165.jpg,10.0,42.0
000166.jpg,11.0,47.0
000166.jpg,10.0,42.0
000167.jpg,10.0,49.0
000167.jpg,11.0,44.0
000168.jpg,13.0,48.0
000168.jpg,11.0,49.0
000169.jpg,11.0,43.0
000169.jpg,13.0,50.0
000169.jpg,7.0,8.0
000170.jpg,12.0,44.0
000170.jpg,14.0,53.0
000170.jpg,9.0,12.0
000171.jpg,12.0,45.0
000171.jpg,14.0,60.0
000171.jpg,8.0,20.0
000172.jpg,15.0,24.0
000172.jpg,15.0,29.0
000172.jpg,21.0,30.0
000173.jpg,11.0,48.0
000173.jpg,11.0,51.0
000173.jpg,8.0,28.0
000174.jpg,11.0,45.0
000174.jpg,9.0,51.0
000174.jpg,8.0,30.0
000175.jpg,11.0,48.0
000175.jpg,10.0,50.0
000175.jpg,11.0,36.0
000176.jpg,11.0,52.0
000176.jpg,11.0,59.0
000176.jpg,9.0,36.0
000177.jpg,12.0,50.0
000177.jpg,12.0,55.0
000177.jpg,9.0,40.0
000178.jpg,13.0,57.0
000178.jpg,11.0,55.0
000178.jpg,10.0,36.0
000179.jpg,12.0,46.0
000179.jpg,12.0,43.0
000179.jpg,11.0,32.0
000180.jpg,14.0,46.0
000180.jpg,13.0,47.0
000180.jpg,11.0,33.0
000181.jpg,9.0,40.0
000181.jpg,11.0,54.0
000181.jpg,15.0,48.0
000182.jpg,15.0,49.0
000182.jpg,11.0,56.0
000182.jpg,10.0,37.0
000183.jpg,15.0,22.0
000183.jpg,15.0,28.0
000183.jpg,19.0,26.0
000184.jpg,18.0,46.0
000184.jpg,10.0,57.0
000184.jpg,11.0,41.0
000185.jpg,19.0,54.0
000185.jpg,12.0,61.0
000185.jpg,11.0,42.0
000186.jpg,21.0,52.0
000186.jpg,10.0,59.0
000186.jpg,11.0,42.0
000187.jpg,21.0,53.0
000187.jpg,13.0,62.0
000187.jpg,11.0,47.0
000188.jpg,22.0,54.0
000188.jpg,13.0,68.0
000188.jpg,12.0,49.0
000189.jpg,25.0,54.0
000189.jpg,15.0,54.0
000189.jpg,11.0,45.0
000190.jpg,22.0,54.0
000190.jpg,13.0,67.0
000190.jpg,11.0,45.0
000191.jpg,20.0,47.0
000191.jpg,18.0,60.0
000191.jpg,9.0,38.0
000192.jpg,17.0,24.0
000192.jpg,19.0,37.0
000192.jpg,21.0,30.0
000192.jpg,7.0,7.0
000193.jpg,8.0,42.0
000193.jpg,15.0,49.0
000193.jpg,24.0,50.0
000194.jpg,8.0,45.0
000194.jpg,17.0,61.0
000194.jpg,24.0,49.0
000195.jpg,24.0,48.0
000195.jpg,18.0,53.0
000195.jpg,11.0,45.0
000196.jpg,22.0,48.0
000196.jpg,18.0,60.0
000196.jpg,12.0,45.0
000197.jpg,25.0,52.0
000197.jpg,18.0,51.0
000197.jpg,10.0,32.0
000198.jpg,23.0,44.0
000198.jpg,18.0,55.0
000198.jpg,11.0,35.0
000199.jpg,23.0,42.0
000199.jpg,19.0,58.0
000199.jpg,11.0,37.0
000200.jpg,22.0,47.0
000200.jpg,18.0,58.0
000200.jpg,11.0,43.0
000201.jpg,13.0,43.0
000201.jpg,21.0,59.0
000201.jpg,25.0,50.0
000202.jpg,25.0,54.0
000202.jpg,21.0,59.0
000202.jpg,12.0,49.0
000203.jpg,22.0,33.0
000203.jpg,18.0,35.0
000203.jpg,22.0,28.0
000203.jpg,9.0,10.0
000203.jpg,6.0,8.0
000204.jpg,19.0,42.0
000204.jpg,22.0,57.0
000204.jpg,13.0,43.0
000204.jpg,8.0,8.0
000205.jpg,24.0,52.0
000205.jpg,20.0,58.0
000205.jpg,11.0,46.0
000205.jpg,13.0,13.0
000206.jpg,13.0,15.0
000206.jpg,22.0,54.0
000206.jpg,23.0,57.0
000206.jpg,14.0,51.0
000207.jpg,15.0,19.0
000207.jpg,20.0,46.0
000207.jpg,22.0,60.0
000207.jpg,12.0,46.0
000208.jpg,18.0,19.0
000208.jpg,27.0,53.0
000208.jpg,23.0,62.0
000208.jpg,13.0,52.0
000209.jpg,12.0,54.0
000209.jpg,24.0,62.0
000209.jpg,24.0,54.0
000209.jpg,21.0,25.0
000210.jpg,20.0,24.0
000210.jpg,14.0,16.0
000210.jpg,13.0,10.0
000210.jpg,18.0,32.0
000210.jpg,21.0,32.0
000211.jpg,24.0,27.0
000211.jpg,27.0,49.0
000211.jpg,25.0,58.0
000211.jpg,12.0,40.0
000212.jpg,29.0,32.0
000212.jpg,25.0,52.0
000212.jpg,23.0,55.0
000212.jpg,12.0,37.0
000213.jpg,30.0,38.0
000213.jpg,27.0,51.0
000213.jpg,24.0,54.0
000213.jpg,14.0,45.0
000214.jpg,25.0,31.0
000214.jpg,20.0,42.0
000214.jpg,25.0,54.0
000214.jpg,13.0,42.0
000215.jpg,28.0,33.0
000215.jpg,22.0,49.0
000215.jpg,28.0,60.0
000215.jpg,12.0,29.0
000216.jpg,11.0,35.0
000216.jpg,29.0,61.0
000216.jpg,20.0,48.0
000216.jpg,30.0,34.0
000217.jpg,23.0,28.0
000217.jpg,22.0,47.0
000217.jpg,28.0,57.0
000217.jpg,10.0,36.0
000218.jpg,25.0,29.0
000218.jpg,16.0,44.0
000218.jpg,29.0,59.0
000218.jpg,14.0,43.0
000219.jpg,12.0,41.0
000219.jpg,31.0,59.0
000219.jpg,15.0,47.0
000219.jpg,30.0,31.0
000220.jpg,14.0,49.0
000220.jpg,31.0,58.0
000220.jpg,15.0,47.0
000220.jpg,36.0,38.0
000221.jpg,22.0,28.0
000221.jpg,20.0,19.0
000221.jpg,19.0,15.0
000221.jpg,13.0,23.0
000221.jpg,23.0,34.0
000222.jpg,12.0,46.0
000222.jpg,33.0,64.0
000222.jpg,17.0,42.0
000222.jpg,29.0,34.0
000223.jpg,29.0,36.0
000223.jpg,20.0,43.0
000223.jpg,30.0,56.0
000223.jpg,12.0,51.0
000224.jpg,15.0,52.0
000224.jpg,37.0,60.0
000224.jpg,17.0,37.0
000224.jpg,21.0,27.0
000224.jpg,12.0,9.0
000225.jpg,13.0,12.0
000225.jpg,22.0,27.0
000225.jpg,24.0,34.0
000225.jpg,36.0,56.0
000225.jpg,16.0,47.0
000226.jpg,12.0,12.0
000226.jpg,24.0,42.0
000226.jpg,22.0,27.0
000226.jpg,37.0,58.0
000226.jpg,18.0,48.0
000227.jpg,16.0,43.0
000227.jpg,35.0,55.0
000227.jpg,25.0,33.0
000227.jpg,25.0,37.0
000227.jpg,14.0,17.0
000228.jpg,18.0,46.0
000228.jpg,37.0,55.0
000228.jpg,25.0,35.0
000228.jpg,27.0,38.0
000228.jpg,14.0,20.0
000229.jpg,12.0,30.0
000229.jpg,18.0,42.0
000229.jpg,30.0,43.0
000229.jpg,36.0,54.0
000229.jpg,30.0,38.0
000230.jpg,14.0,31.0
000230.jpg,19.0,48.0
000230.jpg,38.0,56.0
000230.jpg,31.0,41.0
000230.jpg,30.0,39.0
000231.jpg,19.0,42.0
000231.jpg,29.0,47.0
000231.jpg,27.0,36.0
000231.jpg,39.0,62.0
000231.jpg,18.0,50.0
000232.jpg,12.0,25.0
000232.jpg,18.0,63.0
000232.jpg,52.0,19.0
000232.jpg,7.0,11.0
000232.jpg,28.0,32.0
000232.jpg,20.0,19.0
000232.jpg,10.0,40.0
000232.jpg,11.0,37.0
000233.jpg,19.0,51.0
000233.jpg,33.0,42.0
000233.jpg,38.0,54.0
000233.jpg,31.0,37.0
000233.jpg,20.0,49.0
000234.jpg,20.0,46.0
000234.jpg,29.0,46.0
000234.jpg,38.0,58.0
000234.jpg,32.0,37.0
000234.jpg,20.0,51.0
000235.jpg,22.0,50.0
000235.jpg,24.0,40.0
000235.jpg,32.0,50.0
000235.jpg,28.0,40.0
000235.jpg,20.0,47.0
000236.jpg,21.0,50.0
000236.jpg,25.0,41.0
000236.jpg,31.0,49.0
000236.jpg,17.0,52.0
000236.jpg,25.0,30.0
000237.jpg,25.0,42.0
000237.jpg,22.0,54.0
000237.jpg,22.0,51.0
000237.jpg,31.0,50.0
000238.jpg,21.0,56.0
000238.jpg,30.0,50.0
000238.jpg,21.0,42.0
000238.jpg,23.0,56.0
000239.jpg,20.0,51.0
000239.jpg,29.0,50.0
000239.jpg,23.0,44.0
000239.jpg,18.0,48.0
000240.jpg,24.0,51.0
000240.jpg,31.0,49.0
000240.jpg,22.0,46.0
000240.jpg,23.0,51.0
000241.jpg,24.0,39.0
000241.jpg,20.0,39.0
000241.jpg,22.0,32.0
000241.jpg,22.0,23.0
000241.jpg,18.0,21.0
000242.jpg,20.0,48.0
000242.jpg,23.0,52.0
000242.jpg,21.0,55.0
000242.jpg,36.0,57.0
000243.jpg,21.0,47.0
000243.jpg,23.0,56.0
000243.jpg,23.0,54.0
000244.jpg,18.0,46.0
000244.jpg,20.0,50.0
000244.jpg,18.0,50.0
000245.jpg,18.0,50.0
000245.jpg,18.0,55.0
000245.jpg,19.0,51.0
000246.jpg,16.0,51.0
000246.jpg,15.0,50.0
000246.jpg,18.0,47.0
000247.jpg,16.0,49.0
000247.jpg,17.0,54.0
000247.jpg,17.0,35.0
000248.jpg,14.0,51.0
000248.jpg,15.0,50.0
000248.jpg,19.0,39.0
000249.jpg,14.0,50.0
000249.jpg,13.0,51.0
000249.jpg,22.0,48.0
000249.jpg,10.0,18.0
000250.jpg,13.0,50.0
000250.jpg,12.0,50.0
000250.jpg,24.0,49.0
000251.jpg,16.0,52.0
000251.jpg,14.0,55.0
000251.jpg,21.0,46.0
000252.jpg,21.0,23.0
000252.jpg,24.0,24.0
000252.jpg,14.0,25.0
000252.jpg,16.0,37.0
000252.jpg,23.0,36.0
000253.jpg,20.0,47.0
000253.jpg,12.0,55.0
000253.jpg,25.0,53.0
000253.jpg,13.0,16.0
000253.jpg,10.0,14.0
000254.jpg,19.0,52.0
000254.jpg,11.0,50.0
000254.jpg,26.0,49.0
000254.jpg,12.0,17.0
000254.jpg,10.0,13.0
000255.jpg,18.0,49.0
000255.jpg,12.0,50.0
000255.jpg,26.0,51.0
000255.jpg,11.0,17.0
000255.jpg,10.0,11.0
000256.jpg,21.0,51.0
000256.jpg,12.0,55.0
000256.jpg,29.0,50.0
000257.jpg,12.0,51.0
000257.jpg,28.0,49.0
000257.jpg,21.0,50.0
000258.jpg,18.0,45.0
000258.jpg,14.0,57.0
000258.jpg,31.0,50.0
000258.jpg,20.0,30.0
000259.jpg,18.0,50.0
000259.jpg,12.0,50.0
000259.jpg,29.0,49.0
000260.jpg,21.0,49.0
000260.jpg,14.0,56.0
000260.jpg,33.0,52.0
000261.jpg,14.0,24.0
000261.jpg,26.0,22.0
000261.jpg,21.0,27.0
000261.jpg,18.0,39.0
000262.jpg,25.0,45.0
000262.jpg,11.0,49.0
000262.jpg,35.0,51.0
000263.jpg,27.0,50.0
000263.jpg,10.0,53.0
000263.jpg,30.0,43.0
000264.jpg,29.0,49.0
000264.jpg,13.0,49.0
000264.jpg,30.0,47.0
000265.jpg,30.0,51.0
000265.jpg,13.0,52.0
000265.jpg,32.0,48.0
000266.jpg,30.0,43.0
000266.jpg,13.0,55.0
000266.jpg,28.0,42.0
000267.jpg,36.0,51.0
000267.jpg,12.0,46.0
000267.jpg,30.0,45.0
000268.jpg,35.0,42.0
000268.jpg,9.0,47.0
000268.jpg,29.0,46.0
000269.jpg,37.0,41.0
000269.jpg,12.0,47.0
000269.jpg,28.0,46.0
000270.jpg,41.0,45.0
000270.jpg,14.0,52.0
000270.jpg,31.0,50.0
000271.jpg,46.0,45.0
000271.jpg,17.0,62.0
000271.jpg,30.0,51.0
000272.jpg,17.0,29.0
000272.jpg,27.0,24.0
000272.jpg,19.0,21.0
000272.jpg,11.0,19.0
000273.jpg,45.0,35.0
000273.jpg,16.0,58.0
000274.jpg,40.0,30.0
000274.jpg,17.0,53.0
000275.jpg,47.0,33.0
000275.jpg,18.0,52.0
000276.jpg,42.0,26.0
000276.jpg,16.0,58.0
000277.jpg,41.0,25.0
000277.jpg,17.0,57.0
000278.jpg,16.0,52.0
000278.jpg,38.0,19.0
000279.jpg,14.0,57.0
000280.jpg,14.0,54.0
000281.jpg,15.0,29.0
000281.jpg,31.0,26.0
000281.jpg,23.0,26.0
000281.jpg,11.0,25.0
000282.jpg,13.0,56.0
000283.jpg,13.0,55.0
000284.jpg,11.0,52.0
000285.jpg,13.0,53.0
000285.jpg,8.0,14.0
000286.jpg,15.0,65.0
000286.jpg,10.0,11.0
000287.jpg,12.0,63.0
000287.jpg,11.0,20.0
000288.jpg,13.0,64.0
000288.jpg,10.0,23.0
000289.jpg,13.0,60.0
000289.jpg,12.0,27.0
000290.jpg,13.0,61.0
000290.jpg,13.0,24.0
000291.jpg,12.0,59.0
000291.jpg,11.0,33.0
000292.jpg,17.0,42.0
000292.jpg,33.0,28.0
000292.jpg,24.0,30.0
000293.jpg,12.0,64.0
000293.jpg,15.0,45.0
000294.jpg,13.0,60.0
000294.jpg,18.0,45.0
000295.jpg,15.0,74.0
000295.jpg,19.0,49.0
000296.jpg,11.0,64.0
000296.jpg,16.0,45.0
000297.jpg,15.0,72.0
000297.jpg,16.0,38.0
000298.jpg,15.0,64.0
000298.jpg,15.0,39.0
000299.jpg,16.0,67.0
000299.jpg,14.0,42.0
000300.jpg,15.0,66.0
000300.jpg,15.0,42.0
000301.jpg,38.0,34.0
000301.jpg,9.0,12.0
000301.jpg,34.0,41.0
000301.jpg,17.0,37.0
000302.jpg,15.0,62.0
000302.jpg,19.0,52.0
000303.jpg,13.0,70.0
000303.jpg,20.0,53.0
000304.jpg,16.0,76.0
000304.jpg,20.0,55.0
000305.jpg,14.0,68.0
000305.jpg,19.0,56.0
000306.jpg,19.0,58.0
000306.jpg,14.0,60.0
000307.jpg,17.0,57.0
000308.jpg,19.0,55.0
000309.jpg,14.0,51.0
000310.jpg,20.0,48.0
000311.jpg,22.0,55.0
000312.jpg,39.0,33.0
000312.jpg,32.0,40.0
000312.jpg,17.0,36.0
000312.jpg,11.0,13.0
000313.jpg,24.0,59.0
000314.jpg,22.0,54.0
000315.jpg,23.0,50.0
000316.jpg,18.0,44.0
000317.jpg,18.0,49.0
000318.jpg,18.0,47.0
000319.jpg,22.0,52.0
000320.jpg,22.0,56.0
000320.jpg,10.0,10.0
000321.jpg,21.0,43.0
000321.jpg,34.0,39.0
000321.jpg,44.0,38.0
000321.jpg,13.0,21.0
000322.jpg,19.0,53.0
000323.jpg,22.0,59.0
000323.jpg,15.0,20.0
000324.jpg,20.0,56.0
000324.jpg,14.0,19.0
000325.jpg,22.0,59.0
000325.jpg,17.0,24.0
000326.jpg,20.0,55.0
000326.jpg,16.0,26.0
000327.jpg,19.0,57.0
000327.jpg,15.0,30.0
000328.jpg,19.0,59.0
000328.jpg,20.0,29.0
000329.jpg,21.0,62.0
000329.jpg,17.0,35.0
000330.jpg,17.0,50.0
000330.jpg,20.0,41.0
000331.jpg,19.0,53.0
000331.jpg,20.0,40.0
000332.jpg,13.0,25.0
000332.jpg,35.0,42.0
000332.jpg,40.0,34.0
000332.jpg,22.0,40.0
000333.jpg,19.0,54.0
000333.jpg,25.0,43.0
000334.jpg,18.0,54.0
000334.jpg,22.0,41.0
000335.jpg,17.0,54.0
000335.jpg,22.0,43.0
000336.jpg,20.0,56.0
000336.jpg,21.0,43.0
000337.jpg,17.0,51.0
000337.jpg,21.0,42.0
000338.jpg,18.0,56.0
000338.jpg,18.0,44.0
000339.jpg,19.0,56.0
000339.jpg,15.0,40.0
000340.jpg,17.0,49.0
000340.jpg,18.0,43.0
000341.jpg,17.0,54.0
000341.jpg,19.0,44.0
000342.jpg,21.0,63.0
000342.jpg,19.0,49.0
000343.jpg,18.0,37.0
000343.jpg,20.0,76.0
000343.jpg,63.0,20.0
000343.jpg,29.0,32.0
000343.jpg,10.0,51.0
000343.jpg,15.0,55.0
000343.jpg,33.0,32.0
000344.jpg,18.0,50.0
000344.jpg,19.0,60.0
000345.jpg,17.0,54.0
000345.jpg,21.0,58.0
000346.jpg,20.0,59.0
000346.jpg,22.0,59.0
000347.jpg,23.0,58.0
000347.jpg,21.0,59.0
000348.jpg,17.0,57.0
000348.jpg,20.0,53.0
000349.jpg,18.0,59.0
000349.jpg,17.0,46.0
000350.jpg,18.0,58.0
000350.jpg,20.0,40.0
000351.jpg,19.0,58.0
000351.jpg,21.0,49.0
000352.jpg,27.0,45.0
000352.jpg,41.0,37.0
000352.jpg,12.0,34.0
000352.jpg,9.0,7.0
000353.jpg,17.0,56.0
000353.jpg,21.0,43.0
000354.jpg,18.0,57.0
000354.jpg,22.0,45.0
000355.jpg,19.0,56.0
000355.jpg,21.0,47.0
000356.jpg,19.0,42.0
000356.jpg,23.0,59.0
000357.jpg,24.0,57.0
000357.jpg,23.0,58.0
000358.jpg,22.0,56.0
000358.jpg,22.0,71.0
000359.jpg,23.0,58.0
000359.jpg,22.0,67.0
000360.jpg,23.0,56.0
000360.jpg,23.0,71.0
000361.jpg,24.0,57.0
000361.jpg,17.0,57.0
000362.jpg,23.0,53.0
000363.jpg,12.0,40.0
000363.jpg,45.0,41.0
000363.jpg,21.0,57.0
000363.jpg,21.0,44.0
000364.jpg,21.0,52.0
000364.jpg,20.0,64.0
000365.jpg,23.0,58.0
000365.jpg,18.0,61.0
000366.jpg,22.0,54.0
000366.jpg,17.0,63.0
000367.jpg,18.0,50.0
000367.jpg,12.0,58.0
000368.jpg,20.0,48.0
000368.jpg,13.0,56.0
000369.jpg,22.0,51.0
000369.jpg,13.0,60.0
000370.jpg,24.0,55.0
000371.jpg,25.0,58.0
000372.jpg,23.0,46.0
000372.jpg,54.0,50.0
000372.jpg,22.0,64.0
000372.jpg,14.0,45.0
000373.jpg,26.0,56.0
000374.jpg,24.0,56.0
000375.jpg,25.0,59.0
000376.jpg,25.0,57.0
000377.jpg,23.0,51.0
000378.jpg,21.0,51.0
000379.jpg,26.0,56.0
000380.jpg,24.0,57.0
000381.jpg,24.0,62.0
000382.jpg,24.0,58.0
000383.jpg,15.0,43.0
000383.jpg,39.0,35.0
000383.jpg,20.0,42.0
000383.jpg,11.0,25.0
000384.jpg,20.0,54.0
000385.jpg,19.0,58.0
000386.jpg,19.0,54.0
000387.jpg,19.0,54.0
000387.jpg,7.0,8.0
000388.jpg,18.0,53.0
000388.jpg,12.0,13.0
000389.jpg,17.0,55.0
000389.jpg,13.0,12.0
000390.jpg,19.0,57.0
000390.jpg,18.0,17.0
000391.jpg,20.0,62.0
000391.jpg,21.0,25.0
000391.jpg,12.0,11.0
000392.jpg,14.0,43.0
000392.jpg,39.0,36.0
000392.jpg,19.0,45.0
000393.jpg,17.0,61.0
000393.jpg,21.0,21.0
000393.jpg,24.0,31.0
000394.jpg,26.0,20.0
000394.jpg,20.0,60.0
000394.jpg,27.0,30.0
000395.jpg,18.0,62.0
000395.jpg,32.0,24.0
