filename,center_x,center_y
000035.jpg,388.5,77.5
000035.jpg,586.0,320.0
000036.jpg,497.0,396.5
000036.jpg,583.5,321.5
000036.jpg,389.5,70.5
000037.jpg,497.0,397.5
000037.jpg,580.5,325.0
000037.jpg,390.0,67.5
000038.jpg,576.5,328.5
000038.jpg,496.0,407.5
000038.jpg,390.0,62.0
000039.jpg,495.5,409.0
000039.jpg,575.5,328.0
000039.jpg,390.5,57.5
000040.jpg,496.0,417.0
000040.jpg,565.5,336.0
000040.jpg,389.5,54.0
000041.jpg,498.0,421.5
000041.jpg,565.0,337.5
000041.jpg,389.5,46.0
000042.jpg,497.0,425.0
000042.jpg,558.0,343.0
000042.jpg,387.5,43.0
000043.jpg,498.0,432.0
000043.jpg,551.0,346.0
000043.jpg,388.5,40.0
000044.jpg,501.0,437.0
000044.jpg,545.5,351.0
000045.jpg,326.5,152.0
000045.jpg,511.0,339.0
000045.jpg,558.5,371.5
000045.jpg,540.5,408.5
000045.jpg,516.5,451.5
000045.jpg,529.0,442.5
000046.jpg,539.5,357.5
000046.jpg,502.0,441.0
000047.jpg,503.5,445.0
000047.jpg,532.5,365.0
000048.jpg,506.0,454.0
000048.jpg,528.0,368.0
000049.jpg,509.0,458.5
000049.jpg,525.5,373.5
000050.jpg,511.0,459.5
000050.jpg,521.0,375.5
000051.jpg,510.5,460.0
000051.jpg,518.5,382.5
000052.jpg,514.5,471.0
000052.jpg,517.5,384.5
000053.jpg,512.5,394.0
000053.jpg,516.5,476.0
000054.jpg,565.0,367.0
000054.jpg,256.5,387.5
000055.jpg,504.5,416.5
000055.jpg,525.0,486.0
000056.jpg,505.0,421.0
000056.jpg,526.5,492.0
000057.jpg,528.5,494.0
000057.jpg,505.5,424.5
000058.jpg,532.0,503.0
000058.jpg,505.5,428.0
000059.jpg,531.5,503.0
000059.jpg,507.5,435.0
000060.jpg,534.5,507.0
000060.jpg,508.0,443.5
000061.jpg,538.0,514.5
000061.jpg,510.5,452.0
000062.jpg,539.0,516.5
000062.jpg,513.5,464.5
000063.jpg,539.5,520.5
000063.jpg,514.5,467.5
000064.jpg,542.0,524.5
000064.jpg,518.0,474.0
000065.jpg,568.0,365.0
000065.jpg,259.0,387.0
000065.jpg,271.0,371.0
000066.jpg,543.5,530.5
000066.jpg,526.0,489.0
000067.jpg,544.0,532.0
000067.jpg,529.0,500.5
000068.jpg,544.5,535.0
000068.jpg,531.5,506.0
000069.jpg,546.0,538.5
000069.jpg,535.0,513.0
000070.jpg,536.0,518.5
000071.jpg,535.5,520.5
000072.jpg,536.0,522.5
000073.jpg,570.5,363.0
000073.jpg,256.0,389.0
000074.jpg,254.5,390.0
000074.jpg,569.0,364.0
000075.jpg,592.5,324.0
000076.jpg,590.5,326.5
000077.jpg,589.5,326.5
000078.jpg,583.0,331.0
000079.jpg,580.5,332.0
000080.jpg,576.5,334.5
000081.jpg,575.0,357.5
000081.jpg,255.0,392.5
000082.jpg,570.0,337.0
000083.jpg,566.0,340.5
000084.jpg,565.0,339.0
000085.jpg,558.0,344.0
000086.jpg,556.0,346.5
000087.jpg,550.5,351.0
000088.jpg,545.5,353.5
000089.jpg,542.0,355.0
000090.jpg,540.5,355.5
000091.jpg,539.5,358.5
000092.jpg,252.0,394.0
000092.jpg,575.5,359.0
000093.jpg,527.5,366.5
000094.jpg,524.0,370.5
000095.jpg,524.0,372.5
000096.jpg,522.0,376.0
000097.jpg,519.5,380.0
000098.jpg,514.5,385.0
000099.jpg,514.5,385.5
000100.jpg,511.5,390.5
000101.jpg,250.5,397.0
000101.jpg,280.5,354.5
000101.jpg,577.5,354.5
000102.jpg,504.5,405.0
000103.jpg,505.5,409.5
000104.jpg,505.0,413.0
000105.jpg,507.0,418.0
000106.jpg,507.0,421.0
000107.jpg,508.5,424.5
000108.jpg,509.0,428.0
000109.jpg,509.0,437.0
000110.jpg,511.5,441.5
000111.jpg,511.5,446.0
000112.jpg,585.5,346.5
000112.jpg,282.5,350.0
000112.jpg,249.0,400.0
000113.jpg,515.0,454.0
000114.jpg,515.5,455.0
000115.jpg,517.5,461.5
000116.jpg,519.0,466.5
000117.jpg,522.0,472.0
000118.jpg,521.5,474.5
000119.jpg,526.0,481.0
000120.jpg,526.0,485.5
000121.jpg,583.5,349.5
000121.jpg,288.0,341.0
000121.jpg,247.0,405.0
000122.jpg,530.0,496.0
000123.jpg,533.0,505.5
000124.jpg,535.0,509.0
000125.jpg,533.5,512.0
000126.jpg,536.5,521.5
000127.jpg,537.0,523.5
000128.jpg,538.0,526.0
000129.jpg,538.0,525.5
000130.jpg,330.0,36.5
000131.jpg,326.5,42.0
000132.jpg,586.5,345.0
000132.jpg,289.0,336.5
000132.jpg,248.5,403.0
000133.jpg,326.5,45.0
000134.jpg,327.0,45.0
000135.jpg,326.0,49.5
000136.jpg,326.5,49.5
000137.jpg,327.0,52.5
000138.jpg,327.5,55.5
000139.jpg,327.0,60.0
000140.jpg,325.0,65.0
000141.jpg,325.0,69.0
000142.jpg,324.5,66.5
000143.jpg,351.5,43.0
000143.jpg,326.5,156.0
000143.jpg,513.0,337.5
000143.jpg,559.5,371.5
000143.jpg,544.0,403.0
000143.jpg,527.5,431.5
000143.jpg,518.5,457.5
000144.jpg,323.5,74.0
000145.jpg,323.0,80.5
000146.jpg,322.0,83.0
000147.jpg,323.0,85.0
000148.jpg,321.5,89.5
000149.jpg,321.0,96.5
000150.jpg,321.0,97.0
000151.jpg,317.0,101.0
000152.jpg,588.0,342.5
000152.jpg,290.0,332.0
000152.jpg,244.5,409.5
000153.jpg,316.5,108.5
000154.jpg,316.0,110.5
000154.jpg,330.5,38.5
000155.jpg,316.0,114.5
000155.jpg,331.5,41.5
000156.jpg,331.0,44.5
000156.jpg,315.0,118.5
000157.jpg,332.0,47.0
000157.jpg,314.0,124.0
000158.jpg,330.0,50.0
000158.jpg,312.0,128.0
000159.jpg,329.5,52.0
000159.jpg,313.0,130.0
000160.jpg,313.0,128.0
000160.jpg,330.5,54.5
000161.jpg,314.0,136.5
000161.jpg,330.0,62.5
000162.jpg,313.0,140.0
000162.jpg,330.0,62.0
000163.jpg,588.0,339.0
000163.jpg,291.5,326.5
000163.jpg,241.0,415.0
000164.jpg,328.5,72.0
000164.jpg,312.0,152.0
000165.jpg,312.5,156.0
000165.jpg,329.0,76.0
000166.jpg,328.5,76.5
000166.jpg,312.0,158.0
000167.jpg,312.0,161.5
000167.jpg,328.5,85.0
000168.jpg,311.5,164.0
000168.jpg,329.5,84.5
000169.jpg,313.5,171.5
000169.jpg,329.5,92.0
000169.jpg,323.5,41.0
000170.jpg,313.0,171.0
000170.jpg,329.0,91.5
000170.jpg,322.5,42.0
000171.jpg,314.0,175.5
000171.jpg,329.0,97.0
000171.jpg,324.0,45.0
000172.jpg,589.5,340.0
000172.jpg,292.5,324.5
000172.jpg,237.5,420.0
000173.jpg,314.5,183.0
000173.jpg,328.5,110.5
000173.jpg,324.0,51.0
000174.jpg,313.5,186.5
000174.jpg,327.5,111.5
000174.jpg,323.0,50.0
000175.jpg,313.5,191.0
000175.jpg,329.0,120.0
000175.jpg,323.5,54.0
000176.jpg,312.5,192.0
000176.jpg,328.5,117.5
000176.jpg,322.5,56.0
000177.jpg,312.0,196.0
000177.jpg,329.0,125.5
000177.jpg,323.5,58.0
000178.jpg,312.5,198.5
000178.jpg,329.5,129.5
000178.jpg,323.0,64.0
000179.jpg,311.0,207.0
000179.jpg,331.0,141.5
000179.jpg,322.5,72.0
000180.jpg,312.0,209.0
000180.jpg,329.5,141.5
000180.jpg,322.5,71.5
000181.jpg,321.5,75.0
000181.jpg,328.5,146.0
000181.jpg,310.5,214.0
000182.jpg,310.5,215.5
000182.jpg,329.5,148.0
000182.jpg,322.0,79.5
000183.jpg,592.5,336.0
000183.jpg,295.5,319.0
000183.jpg,234.5,424.0
000184.jpg,308.0,226.0
000184.jpg,330.0,156.5
000184.jpg,321.5,84.5
000185.jpg,306.5,226.0
000185.jpg,329.0,160.5
000185.jpg,321.5,90.0
000186.jpg,305.5,231.0
000186.jpg,329.0,165.5
000186.jpg,321.5,93.0
000187.jpg,305.5,235.5
000187.jpg,329.5,169.0
000187.jpg,322.5,94.5
000188.jpg,304.0,237.0
000188.jpg,328.5,170.0
000188.jpg,321.0,95.5
000189.jpg,303.5,242.0
000189.jpg,327.5,182.0
000189.jpg,320.5,101.5
000190.jpg,302.0,246.0
000190.jpg,327.5,178.5
000190.jpg,320.5,101.5
000191.jpg,300.0,254.5
000191.jpg,327.0,188.0
000191.jpg,319.5,113.0
000192.jpg,593.5,336.0
000192.jpg,294.5,321.5
000192.jpg,234.5,423.0
000192.jpg,591.5,312.5
000193.jpg,319.0,120.0
000193.jpg,325.5,201.5
000193.jpg,297.0,261.0
000194.jpg,319.0,117.5
000194.jpg,324.5,202.5
000194.jpg,296.0,263.5
000195.jpg,294.0,268.0
000195.jpg,324.0,210.5
000195.jpg,320.5,124.5
000196.jpg,291.0,273.0
000196.jpg,324.0,210.0
000196.jpg,319.0,128.5
000197.jpg,290.5,275.0
000197.jpg,322.0,220.5
000197.jpg,318.0,141.0
000198.jpg,289.5,282.0
000198.jpg,322.0,220.5
000198.jpg,318.5,141.5
000199.jpg,285.5,288.0
000199.jpg,320.5,224.0
000199.jpg,317.5,144.5
000200.jpg,286.0,288.5
000200.jpg,319.0,227.0
000200.jpg,318.5,143.5
000201.jpg,317.5,149.5
000201.jpg,317.5,234.5
000201.jpg,286.5,292.0
000202.jpg,285.5,297.0
000202.jpg,317.5,237.5
000202.jpg,317.0,148.5
000203.jpg,234.0,426.5
000203.jpg,297.0,315.5
000203.jpg,593.0,336.0
000203.jpg,589.5,314.0
000203.jpg,582.0,306.0
000204.jpg,280.5,308.0
000204.jpg,316.0,245.5
000204.jpg,315.5,157.5
000204.jpg,226.0,453.0
000205.jpg,279.0,309.0
000205.jpg,314.0,252.0
000205.jpg,315.5,162.0
000205.jpg,227.5,450.5
000206.jpg,228.5,449.5
000206.jpg,278.0,312.0
000206.jpg,313.5,257.5
000206.jpg,315.0,164.5
000207.jpg,230.5,447.5
000207.jpg,273.0,319.0
000207.jpg,311.0,260.0
000207.jpg,314.0,170.0
000208.jpg,231.0,445.5
000208.jpg,275.5,319.5
000208.jpg,310.5,262.0
000208.jpg,313.5,168.0
000209.jpg,313.0,174.0
000209.jpg,309.0,270.0
000209.jpg,272.0,325.0
000209.jpg,233.5,444.5
000210.jpg,595.0,333.0
000210.jpg,589.0,316.0
000210.jpg,580.5,308.0
000210.jpg,299.0,313.0
000210.jpg,230.5,429.0
000211.jpg,236.0,440.5
000211.jpg,269.5,333.5
000211.jpg,306.5,278.0
000211.jpg,312.0,186.0
000212.jpg,236.5,439.0
000212.jpg,268.5,337.0
000212.jpg,303.5,285.5
000212.jpg,312.0,192.5
000213.jpg,237.0,438.0
000213.jpg,267.5,340.5
000213.jpg,301.0,290.0
000213.jpg,310.0,192.5
000214.jpg,242.5,432.5
000214.jpg,264.0,350.0
000214.jpg,299.5,296.0
000214.jpg,309.5,198.0
000215.jpg,243.0,431.5
000215.jpg,264.0,348.5
000215.jpg,299.0,298.0
000215.jpg,309.0,206.5
000216.jpg,307.5,208.5
000216.jpg,296.5,301.5
000216.jpg,263.0,355.0
000216.jpg,244.0,430.0
000217.jpg,248.5,427.0
000217.jpg,262.0,358.5
000217.jpg,294.0,308.5
000217.jpg,308.0,211.0
000218.jpg,250.5,421.5
000218.jpg,259.0,366.0
000218.jpg,292.5,313.5
000218.jpg,308.0,212.5
000219.jpg,308.0,215.5
000219.jpg,291.5,317.5
000219.jpg,259.5,367.5
000219.jpg,252.0,421.5
000220.jpg,307.0,216.5
000220.jpg,287.5,326.0
000220.jpg,257.5,374.5
000220.jpg,254.0,420.0
000221.jpg,595.0,332.0
000221.jpg,586.0,318.5
000221.jpg,574.5,313.5
000221.jpg,305.5,301.5
000221.jpg,229.5,433.0
000222.jpg,305.0,226.0
000222.jpg,283.5,330.0
000222.jpg,254.5,386.0
000222.jpg,260.5,409.0
000223.jpg,263.5,406.0
000223.jpg,252.0,388.5
000223.jpg,280.0,338.0
000223.jpg,305.0,227.5
000224.jpg,304.5,233.0
000224.jpg,278.5,342.0
000224.jpg,250.5,395.5
000224.jpg,268.5,402.5
000224.jpg,546.0,539.5
000225.jpg,546.5,539.0
000225.jpg,271.0,396.5
000225.jpg,248.0,401.0
000225.jpg,274.0,349.0
000225.jpg,301.0,240.5
000226.jpg,547.0,537.0
000226.jpg,247.0,401.0
000226.jpg,274.0,394.5
000226.jpg,272.5,348.0
000226.jpg,301.0,243.0
000227.jpg,300.0,251.5
000227.jpg,268.5,358.5
000227.jpg,274.5,393.5
000227.jpg,244.5,408.5
000227.jpg,548.0,535.5
000228.jpg,300.0,252.0
000228.jpg,267.5,361.5
000228.jpg,275.5,392.5
000228.jpg,243.5,410.0
000228.jpg,548.0,534.0
000229.jpg,549.0,530.0
000229.jpg,297.0,259.0
000229.jpg,276.0,389.5
000229.jpg,262.0,368.0
000229.jpg,241.0,415.0
000230.jpg,548.0,527.5
000230.jpg,297.5,258.0
000230.jpg,262.0,370.0
000230.jpg,276.5,389.5
000230.jpg,239.0,416.5
000231.jpg,545.5,523.0
000231.jpg,279.5,385.5
000231.jpg,234.5,424.0
000231.jpg,260.5,373.0
000231.jpg,296.0,261.0
000232.jpg,353.0,47.5
000232.jpg,326.0,160.5
000232.jpg,516.0,336.5
000232.jpg,596.5,316.5
000232.jpg,562.0,369.0
000232.jpg,546.0,397.5
000232.jpg,527.0,428.0
000232.jpg,519.5,463.5
000233.jpg,545.5,517.5
000233.jpg,281.5,381.0
000233.jpg,255.0,383.0
000233.jpg,234.5,427.5
000233.jpg,295.0,270.5
000234.jpg,543.0,507.0
000234.jpg,282.5,378.0
000234.jpg,249.0,389.0
000234.jpg,229.0,433.5
000234.jpg,292.0,272.5
000235.jpg,543.0,504.0
000235.jpg,287.0,373.0
000235.jpg,245.0,396.0
000235.jpg,226.0,437.0
000235.jpg,293.0,277.5
000236.jpg,539.5,495.0
000236.jpg,288.5,366.5
000236.jpg,240.5,402.5
000236.jpg,290.5,280.0
000236.jpg,224.5,439.0
000237.jpg,289.5,366.0
000237.jpg,291.0,283.0
000237.jpg,538.0,491.5
000237.jpg,240.5,407.0
000238.jpg,534.5,485.0
000238.jpg,236.0,411.0
000238.jpg,292.5,362.0
000238.jpg,289.5,287.0
000239.jpg,534.0,480.5
000239.jpg,234.5,417.0
000239.jpg,292.5,361.0
000239.jpg,287.0,297.0
000240.jpg,532.0,473.5
000240.jpg,231.5,420.5
000240.jpg,293.0,358.0
000240.jpg,286.5,295.5
000241.jpg,228.0,434.5
000241.jpg,304.0,300.5
000241.jpg,596.0,330.0
000241.jpg,582.0,321.5
000241.jpg,562.0,323.5
000242.jpg,527.0,461.0
000242.jpg,295.5,350.0
000242.jpg,282.5,306.5
000242.jpg,226.0,428.5
000243.jpg,525.5,454.5
000243.jpg,296.5,349.0
000243.jpg,281.5,312.0
000244.jpg,524.0,451.0
000244.jpg,300.0,341.0
000244.jpg,280.0,318.0
000245.jpg,522.0,444.0
000245.jpg,301.0,337.5
000245.jpg,276.5,321.5
000246.jpg,522.0,441.5
000246.jpg,302.5,333.0
000246.jpg,276.0,329.5
000247.jpg,520.0,435.5
000247.jpg,303.5,328.0
000247.jpg,271.5,338.5
000248.jpg,518.0,429.5
000248.jpg,304.5,324.0
000248.jpg,270.5,338.5
000249.jpg,519.0,426.0
000249.jpg,305.5,320.5
000249.jpg,271.0,344.0
000249.jpg,185.0,504.0
000250.jpg,518.5,423.0
000250.jpg,307.0,316.0
000250.jpg,270.0,345.5
000251.jpg,521.0,415.0
000251.jpg,307.0,310.5
000251.jpg,266.5,352.0
000252.jpg,558.5,328.5
000252.jpg,580.0,324.0
000252.jpg,598.0,326.5
000252.jpg,307.0,295.5
000252.jpg,226.5,438.0
000253.jpg,523.0,400.5
000253.jpg,308.0,302.5
000253.jpg,263.5,357.5
000253.jpg,186.5,502.0
000253.jpg,172.0,523.0
000254.jpg,522.5,401.0
000254.jpg,307.5,298.0
000254.jpg,262.0,360.5
000254.jpg,186.0,501.5
000254.jpg,172.0,523.5
000255.jpg,523.0,395.5
000255.jpg,309.0,295.0
000255.jpg,260.0,364.5
000255.jpg,183.5,505.5
000255.jpg,170.0,526.5
000256.jpg,524.5,391.5
000256.jpg,309.0,291.5
000256.jpg,257.5,368.0
000257.jpg,310.0,287.5
000257.jpg,256.0,370.5
000257.jpg,526.5,387.0
000258.jpg,530.0,377.5
000258.jpg,310.0,282.5
000258.jpg,254.5,375.0
000258.jpg,176.0,517.0
000259.jpg,532.0,376.0
000259.jpg,311.0,279.0
000259.jpg,252.5,379.5
000260.jpg,534.5,369.5
000260.jpg,311.0,276.0
000260.jpg,250.5,382.0
000261.jpg,599.0,326.0
000261.jpg,575.0,328.0
000261.jpg,550.5,337.5
000261.jpg,307.0,292.5
000262.jpg,537.5,359.5
000262.jpg,313.5,263.5
000262.jpg,246.5,390.5
000263.jpg,541.5,358.0
000263.jpg,314.0,261.5
000263.jpg,242.0,400.5
000264.jpg,542.5,353.5
000264.jpg,314.5,254.5
000264.jpg,241.0,400.5
000265.jpg,545.0,349.5
000265.jpg,314.5,249.0
000265.jpg,237.0,405.0
000266.jpg,548.0,344.5
000266.jpg,316.5,247.5
000266.jpg,234.0,413.0
000267.jpg,551.0,343.5
000267.jpg,317.0,237.0
000267.jpg,232.0,415.5
000268.jpg,553.5,337.0
000268.jpg,316.5,236.5
000268.jpg,231.5,417.0
000269.jpg,557.5,333.5
000269.jpg,318.0,230.5
000269.jpg,227.0,423.0
000270.jpg,559.5,333.5
000270.jpg,319.0,229.0
000270.jpg,228.5,423.0
000271.jpg,562.0,330.5
000271.jpg,318.5,227.0
000271.jpg,222.0,430.5
000272.jpg,598.5,325.5
000272.jpg,573.5,329.0
000272.jpg,544.5,343.5
000272.jpg,312.5,280.5
000273.jpg,567.5,323.5
000273.jpg,320.0,215.0
000274.jpg,572.0,322.0
000274.jpg,321.5,210.5
000275.jpg,571.5,323.5
000275.jpg,322.0,204.0
000276.jpg,575.0,320.0
000276.jpg,322.0,201.0
000277.jpg,575.5,319.5
000277.jpg,322.5,198.5
000278.jpg,326.0,188.0
000278.jpg,578.0,317.5
000279.jpg,326.0,187.5
000280.jpg,327.0,180.0
000281.jpg,313.5,279.5
000281.jpg,570.5,333.0
000281.jpg,537.5,353.0
000281.jpg,599.5,323.5
000282.jpg,327.5,170.0
000283.jpg,327.5,164.5
000284.jpg,328.5,161.0
000285.jpg,329.5,154.5
000285.jpg,216.0,449.0
000286.jpg,328.5,156.5
000286.jpg,217.0,448.5
000287.jpg,330.0,147.5
000287.jpg,217.5,444.0
000288.jpg,330.5,144.0
000288.jpg,218.0,441.5
000289.jpg,329.5,137.0
000289.jpg,220.0,438.5
000290.jpg,331.5,134.5
000290.jpg,220.5,438.0
000291.jpg,332.0,128.5
000291.jpg,223.5,431.5
000292.jpg,312.5,282.0
000292.jpg,569.5,333.0
000292.jpg,534.0,357.0
000293.jpg,333.0,121.0
000293.jpg,223.5,429.5
000294.jpg,332.5,115.0
000294.jpg,223.0,426.5
000295.jpg,333.5,114.0
000295.jpg,224.5,423.5
000296.jpg,333.5,110.0
000296.jpg,226.0,419.5
000297.jpg,335.5,103.0
000297.jpg,230.0,407.0
000298.jpg,335.5,95.0
000298.jpg,229.5,405.5
000299.jpg,336.0,94.5
000299.jpg,231.0,403.0
000300.jpg,336.5,87.0
000300.jpg,231.5,400.0
000301.jpg,567.0,335.0
000301.jpg,546.5,541.0
000301.jpg,530.0,363.5
000301.jpg,315.5,275.5
000302.jpg,337.5,76.0
000302.jpg,233.5,393.0
000303.jpg,339.5,73.0
000303.jpg,236.0,389.5
000304.jpg,338.0,71.0
000304.jpg,236.0,387.5
000305.jpg,339.0,64.0
000305.jpg,237.5,383.0
000306.jpg,237.5,379.0
000306.jpg,338.0,57.0
000307.jpg,240.5,373.5
000308.jpg,240.5,371.5
000309.jpg,244.0,361.5
000310.jpg,244.0,358.0
000311.jpg,246.0,354.5
000312.jpg,563.5,337.5
000312.jpg,523.0,369.0
000312.jpg,315.5,272.0
000312.jpg,545.5,537.5
000313.jpg,247.0,347.5
000314.jpg,248.0,343.0
000315.jpg,251.5,333.0
000316.jpg,252.0,331.0
000317.jpg,254.0,326.5
000318.jpg,254.0,322.5
000319.jpg,254.0,319.0
000320.jpg,255.0,316.0
000320.jpg,216.0,452.0
000321.jpg,316.5,270.5
000321.jpg,516.0,376.5
000321.jpg,560.0,338.0
000321.jpg,543.5,534.5
000322.jpg,258.5,307.5
000323.jpg,260.0,303.5
000323.jpg,218.5,447.0
000324.jpg,260.0,299.0
000324.jpg,221.0,445.5
000325.jpg,262.0,292.5
000325.jpg,220.5,442.0
000326.jpg,263.0,288.5
000326.jpg,222.0,440.0
000327.jpg,264.5,282.5
000327.jpg,223.5,437.0
000328.jpg,266.5,281.5
000328.jpg,224.0,435.5
000329.jpg,266.5,275.0
000329.jpg,226.5,431.5
000330.jpg,268.5,270.0
000330.jpg,225.0,432.5
000331.jpg,271.5,262.5
000331.jpg,228.0,428.0
000332.jpg,543.5,532.5
000332.jpg,512.5,382.0
000332.jpg,557.0,344.0
000332.jpg,317.0,269.0
000333.jpg,271.5,254.0
000333.jpg,228.5,420.5
000334.jpg,273.0,251.0
000334.jpg,232.0,419.5
000335.jpg,274.5,244.0
000335.jpg,231.0,412.5
000336.jpg,275.0,242.0
000336.jpg,235.5,410.5
000337.jpg,277.5,232.5
000337.jpg,236.5,407.0
000338.jpg,277.0,233.0
000338.jpg,237.0,406.0
000339.jpg,280.5,222.0
000339.jpg,238.5,398.0
000340.jpg,279.5,218.5
000340.jpg,239.0,395.5
000341.jpg,282.5,212.0
000341.jpg,238.5,394.0
000342.jpg,282.5,212.5
000342.jpg,239.5,391.5
000343.jpg,353.0,48.5
000343.jpg,326.0,161.0
000343.jpg,518.5,335.0
000343.jpg,550.5,398.0
000343.jpg,528.0,426.5
000343.jpg,521.5,462.5
000343.jpg,563.5,368.0
000344.jpg,243.0,386.0
000344.jpg,286.5,202.0
000345.jpg,287.5,194.0
000345.jpg,243.5,383.0
000346.jpg,286.0,193.5
000346.jpg,244.0,382.5
000347.jpg,287.5,184.0
000347.jpg,246.5,377.5
000348.jpg,291.5,178.5
000348.jpg,247.0,373.5
000349.jpg,291.0,173.5
000349.jpg,249.5,363.0
000350.jpg,292.0,168.0
000350.jpg,250.0,357.0
000351.jpg,293.5,163.0
000351.jpg,251.5,358.5
000352.jpg,319.5,262.5
000352.jpg,551.5,349.5
000352.jpg,542.0,525.0
000352.jpg,553.5,512.5
000353.jpg,296.5,154.0
000353.jpg,254.5,350.5
000354.jpg,296.0,149.5
000354.jpg,254.0,347.5
000355.jpg,298.5,142.0
000355.jpg,255.5,343.5
000356.jpg,256.5,340.0
000356.jpg,297.5,144.5
000357.jpg,256.0,341.5
000357.jpg,300.5,131.0
000358.jpg,258.0,336.0
000358.jpg,301.0,135.5
000359.jpg,259.5,334.0
000359.jpg,303.0,124.5
000360.jpg,259.5,331.0
000360.jpg,303.5,122.5
000361.jpg,261.0,327.5
000361.jpg,307.5,111.5
000362.jpg,262.5,321.5
000363.jpg,540.0,519.0
000363.jpg,547.5,350.5
000363.jpg,503.5,406.5
000363.jpg,322.5,255.0
000364.jpg,265.5,314.0
000364.jpg,308.0,96.0
000365.jpg,266.5,310.0
000365.jpg,311.0,87.5
000366.jpg,268.0,308.0
000366.jpg,310.5,85.5
000367.jpg,271.0,300.0
000367.jpg,312.0,75.0
000368.jpg,271.0,298.0
000368.jpg,312.5,72.0
000369.jpg,272.0,293.5
000369.jpg,313.5,67.0
000370.jpg,272.0,291.5
000371.jpg,274.5,286.0
000372.jpg,323.5,256.0
000372.jpg,549.0,349.0
000372.jpg,504.0,410.0
000372.jpg,540.0,519.5
000373.jpg,278.0,278.0
000374.jpg,279.0,276.0
000375.jpg,278.5,273.5
000376.jpg,279.5,268.5
000377.jpg,282.5,260.5
000378.jpg,283.5,256.5
000379.jpg,284.0,254.0
000380.jpg,285.0,251.5
000381.jpg,286.0,248.0
000382.jpg,287.0,242.0
000383.jpg,536.5,509.5
000383.jpg,539.5,360.5
000383.jpg,325.0,250.0
000383.jpg,500.5,441.5
000384.jpg,292.0,232.0
000385.jpg,292.5,229.0
000386.jpg,292.5,223.0
000387.jpg,293.5,218.0
000387.jpg,217.5,452.0
000388.jpg,296.0,214.5
000388.jpg,218.0,452.5
000389.jpg,295.5,208.5
000389.jpg,218.5,450.0
000390.jpg,296.5,206.5
000390.jpg,221.0,447.5
000391.jpg,297.0,203.0
000391.jpg,224.5,444.5
000391.jpg,597.0,318.5
000392.jpg,537.0,507.5
000392.jpg,537.5,364.0
000392.jpg,326.5,249.5
000393.jpg,300.5,193.5
000393.jpg,591.5,321.5
000393.jpg,226.0,441.5
000394.jpg,589.0,324.0
000394.jpg,303.0,189.0
000394.jpg,228.5,439.0
000395.jpg,302.0,186.0
