Course Code,Prefix,Type,Times Offered in Data,Offering Rate (%),Which Minors Require It
HIST 2700,HIST,Ghost,0,0.0,History Minor
HIST 2800,HIST,Ghost,0,0.0,History Minor
HIST 2900,HIST,Ghost,0,0.0,History Minor
HIST 3000,HIST,Ghost,0,0.0,History Minor
HIST 3100,HIST,Ghost,0,0.0,History Minor
HIST 3200,HIST,Ghost,0,0.0,History Minor
HIST 3300,HIST,Ghost,0,0.0,History Minor
HIST 3400,HIST,Ghost,0,0.0,History Minor
HIST 3500,HIST,Ghost,0,0.0,History Minor
HIST 3600,HIST,Ghost,0,0.0,History Minor
HIST 3700,HIST,Ghost,0,0.0,History Minor
HIST 3800,HIST,Ghost,0,0.0,History Minor
HIST 3900,HIST,Ghost,0,0.0,History Minor
HIST 4000,HIST,Ghost,0,0.0,History Minor
HIST 4100,HIST,Ghost,0,0.0,History Minor
HIST 4200,HIST,Ghost,0,0.0,History Minor
HIST 4300,HIST,Ghost,0,0.0,History Minor
HIST 4400,HIST,Ghost,0,0.0,History Minor
HIST 4500,HIST,Ghost,0,0.0,History Minor
HIST 4600,HIST,Ghost,0,0.0,History Minor
HIST 4700,HIST,Ghost,0,0.0,History Minor
HIST 4800,HIST,Ghost,0,0.0,History Minor
HIST 4900,HIST,Ghost,0,0.0,History Minor
HIST 5000,HIST,Ghost,0,0.0,History Minor
HIST 5100,HIST,Ghost,0,0.0,History Minor
HIST 5200,HIST,Ghost,0,0.0,History Minor
HIST 5300,HIST,Ghost,0,0.0,History Minor
HIST 5400,HIST,Ghost,0,0.0,History Minor
HIST 5500,HIST,Ghost,0,0.0,History Minor
HIST 5600,HIST,Ghost,0,0.0,History Minor
HIST 5700,HIST,Ghost,0,0.0,History Minor
HIST 5800,HIST,Ghost,0,0.0,History Minor
HIST 5900,HIST,Ghost,0,0.0,History Minor
HPEB 1100,HPEB,Zombie,3,18.8,Medical Humanities and Culture Minor
HSPM 1200,HSPM,Zombie,4,25.0,Medical Humanities and Culture Minor
HTMT 1400,HTMT,Zombie,3,18.8,Beverage Management Minor
HTMT 1500,HTMT,Zombie,2,12.5,Beverage Management Minor
ISCI 1000,ISCI,Zombie,4,25.0,Law and Society Interdisciplinary Minor; Social Media and Mass Communications Minor; User Experience and Design Minor; Applied Computing Minor; Informatics Minor
JAPA 1100,JAPA,Zombie,4,25.0,Japanese Minor
JAPA 1600,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 1700,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 1800,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 1900,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2000,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2100,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2200,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2300,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2400,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2500,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2600,JAPA,Ghost,0,0.0,Japanese Minor
JAPA 2700,JAPA,Ghost,0,0.0,Japanese Minor
JSTU 1000,JSTU,Zombie,2,12.5,Jewish Studies Minor
LING 1100,LING,Zombie,4,25.0,Linguistics Minor
MART 1000,MART,Zombie,4,25.0,Media Arts Minor; Applied Computing Minor
MART 1100,MART,Zombie,2,12.5,Media Arts Minor; Applied Computing Minor
MATH 1000,MATH,Zombie,4,25.0,Economics Minor; Actuarial Mathematics and Statistics Minor; Chemical Engineering Minor; Chemistry Minor; Computer Science Minor; Data Science Minor; Geophysics Minor; Mathematical Biology Minor; Mathematics Minor; Nuclear Engineering Minor
MATH 1300,MATH,Ghost,0,0.0,Economics Minor
MATH 2000,MATH,Ghost,0,0.0,Mathematical Biology Minor
MGMT 1100,MGMT,Zombie,3,18.8,Leadership Studies Minor
MGMT 1300,MGMT,Ghost,0,0.0,Leadership Studies Minor
MSCI 1100,MSCI,Zombie,3,18.8,Marine Science Minor; Mathematical Biology Minor
MSCI 1400,MSCI,Zombie,4,25.0,Marine Science Minor
MUSC 1200,MUSC,Zombie,1,6.2,Audio Recording Minor; Music Minor
MUSC 1300,MUSC,Ghost,0,0.0,Audio Recording Minor; Music Minor
MUSC 1400,MUSC,Ghost,0,0.0,Audio Recording Minor; Music Minor
MUSC 1500,MUSC,Ghost,0,0.0,Audio Recording Minor; Music Minor
MUSC 1600,MUSC,Ghost,0,0.0,Music Minor
NAVY 1200,NAVY,Zombie,2,12.5,Naval Science Minor
PCAM 1100,PCAM,Zombie,3,18.8,Leadership Studies Minor
PEDU 1100,PEDU,Zombie,3,18.8,Athletic Coaching Minor
PEDU 1400,PEDU,Zombie,1,6.2,Athletic Coaching Minor
PEDU 1600,PEDU,Zombie,4,25.0,Athletic Coaching Minor
PHIL 1000,PHIL,Zombie,4,25.0,Civics and Humanities Minor; Classical Studies Minor; Law and Society Interdisciplinary Minor; Medical Humanities and Culture Minor; Philosophy Minor
PHIL 1400,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 1500,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 1600,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 1700,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 1800,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 1900,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2000,PHIL,Ghost,0,0.0,Civics and Humanities Minor; Philosophy Minor
PHIL 2100,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2200,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2300,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2400,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2500,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2600,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2700,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2800,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 2900,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3000,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3100,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3200,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3300,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3400,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3500,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3600,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3700,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3800,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 3900,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4000,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4100,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4200,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4300,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4400,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4500,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4600,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4700,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4800,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 4900,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5000,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5100,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5200,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5300,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5400,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5500,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5600,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5700,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5800,PHIL,Ghost,0,0.0,Philosophy Minor
PHIL 5900,PHIL,Ghost,0,0.0,Philosophy Minor
POLI 1400,POLI,Ghost,0,0.0,Political Science Minor
POLI 1500,POLI,Ghost,0,0.0,Political Science Minor
POLI 1600,POLI,Ghost,0,0.0,Political Science Minor
POLI 1700,POLI,Ghost,0,0.0,Political Science Minor
POLI 1800,POLI,Ghost,0,0.0,Political Science Minor
POLI 1900,POLI,Ghost,0,0.0,Political Science Minor
POLI 2000,POLI,Ghost,0,0.0,Political Science Minor
POLI 2100,POLI,Ghost,0,0.0,Political Science Minor
POLI 2200,POLI,Ghost,0,0.0,Political Science Minor
POLI 2300,POLI,Ghost,0,0.0,Political Science Minor
POLI 2400,POLI,Ghost,0,0.0,Political Science Minor
POLI 2500,POLI,Ghost,0,0.0,Political Science Minor
POLI 2600,POLI,Ghost,0,0.0,Political Science Minor
POLI 2700,POLI,Ghost,0,0.0,Political Science Minor
POLI 2800,POLI,Ghost,0,0.0,Political Science Minor
POLI 2900,POLI,Ghost,0,0.0,Political Science Minor
POLI 3000,POLI,Ghost,0,0.0,Political Science Minor
POLI 3100,POLI,Ghost,0,0.0,Political Science Minor
POLI 3200,POLI,Ghost,0,0.0,Political Science Minor
POLI 3300,POLI,Ghost,0,0.0,Political Science Minor
POLI 3400,POLI,Ghost,0,0.0,Political Science Minor
POLI 3500,POLI,Ghost,0,0.0,Political Science Minor
POLI 3600,POLI,Ghost,0,0.0,Political Science Minor
POLI 3700,POLI,Ghost,0,0.0,Political Science Minor
POLI 3800,POLI,Ghost,0,0.0,Political Science Minor
POLI 3900,POLI,Ghost,0,0.0,Political Science Minor
PORT 1000,PORT,Zombie,4,25.0,Portuguese Minor
PSYC 1300,PSYC,Ghost,0,0.0,Leadership Studies Minor
RETL 1000,RETL,Zombie,2,12.5,Law and Society Interdisciplinary Minor; Event Management Minor; Retailing Minor
RUSS 1000,RUSS,Zombie,4,25.0,Russian Minor
SCHC 1000,SCHC,Zombie,4,25.0,Francophone Studies Minor
SCHC 1100,SCHC,Zombie,1,6.2,Francophone Studies Minor
SOWK 1000,SOWK,Zombie,4,25.0,Social Work Minor
SPAN 1100,SPAN,Zombie,4,25.0,Medical Humanities and Culture Minor; Spanish Minor
SPCH 1400,SPCH,Ghost,0,0.0,Speech Communication Minor
SPTE 1300,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 1400,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 1500,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 1600,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 1700,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 1800,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 1900,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 2000,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 2100,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 2200,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 2300,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
SPTE 2400,SPTE,Ghost,0,0.0,Sport and Entertainment Management Minor
STAT 1600,STAT,Ghost,0,0.0,Statistics Minor
STAT 1700,STAT,Ghost,0,0.0,Statistics Minor
THEA 1300,THEA,Ghost,0,0.0,Theatre Minor
THEA 1400,THEA,Ghost,0,0.0,Theatre Minor
THEA 1500,THEA,Ghost,0,0.0,Theatre Minor
WGST 1100,WGST,Zombie,4,25.0,Medical Humanities and Culture Minor; Womens and Gender Studies Minor
WGST 1300,WGST,Zombie,3,18.8,Womens and Gender Studies Minor
WGST 1400,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 1500,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 1600,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 1700,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 1800,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 1900,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 2000,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 2100,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 2200,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 2300,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 2400,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
WGST 2500,WGST,Ghost,0,0.0,Womens and Gender Studies Minor
